# x_m,y_m,w_tr_right_m,w_tr_left_m
-264.6292203624513,-76.73310390821999,4.0,4.0
-264.37277064463024,-76.38979429702162,4.0,4.0
-264.11616811489364,-76.04650751865792,4.0,4.0
-263.9878362868037,-75.87485271176622,4.0,4.0
-263.85950445705726,-75.70320551745061,4.0,4.0
-263.60277966996625,-75.3598654536306,4.0,4.0
-263.34602432181816,-75.01654822592127,4.0,4.0
-263.0891772910983,-74.67334517637697,4.0,4.0
-262.83233026464967,-74.33021063504458,4.0,4.0
-262.57557492405164,-73.9871902680071,4.0,4.0
-262.3188501455729,-73.64416990308897,4.0,4.0
-262.06200311955774,-73.30115714673413,4.0,4.0
-261.80491159101564,-72.95812155463464,4.0,4.0
-261.67633526096347,-72.78657331150164,4.0,4.0
-261.5478200554339,-72.6149946193359,4.0,4.0
-261.29066739890146,-72.2718448461341,4.0,4.0
-261.0333925047735,-71.92889298675009,4.0,4.0
-260.7760870595135,-71.58606291766925,4.0,4.0
-260.5188121804507,-71.24334702599533,4.0,4.0
-260.3902053043439,-71.07200430457762,4.0,4.0
-260.26162899129366,-70.90065397169258,4.0,4.0
-260.00441524193917,-70.55799897474802,4.0,4.0
-259.7469569892966,-70.21531352898646,4.0,4.0
-259.6182278602636,-70.0439479692899,4.0,4.0
-259.4894681678455,-69.87257479903919,4.0,4.0
-259.23197934692996,-69.52982845518684,4.0,4.0
-258.97442940619555,-69.1872039023574,4.0,4.0
-258.8456085944663,-69.01589923849997,4.0,4.0
-258.71678778247417,-68.84464024345277,4.0,4.0
-258.45926840716226,-68.50219837576961,4.0,4.0
-258.2017490310647,-68.15975650304368,4.0,4.0
-258.07295878081186,-67.9885507915292,4.0,4.0
-257.9441379693181,-67.81736030307019,4.0,4.0
-257.6863435244504,-67.47488798212291,4.0,4.0
-257.42848794773096,-67.1323319292099,4.0,4.0
-257.1705712474912,-66.78978348482636,4.0,4.0
-256.9125628674192,-66.44738728113259,4.0,4.0
-256.65452393123593,-66.10507480868338,4.0,4.0
-256.52555030791206,-65.93394521184888,4.0,4.0
-256.39654612252104,-65.7628308399699,4.0,4.0
-256.1385224714498,-65.42062493293938,4.0,4.0
-255.88046825857603,-65.07845708372534,4.0,4.0
-255.7514335099453,-64.9073655461065,4.0,4.0
-255.622368197679,-64.73627400788747,4.0,4.0
-255.36420700880313,-64.39410615410601,4.0,4.0
-255.23508057022153,-64.22302222715592,4.0,4.0
-255.10596941279502,-64.05195352369239,4.0,4.0
-254.84771653616215,-63.70984656526782,4.0,4.0
-254.58943309561374,-63.36780049793947,4.0,4.0
-254.460291374949,-63.19680791242459,4.0,4.0
-254.33113437286002,-63.02579629704937,4.0,4.0
-254.0728356497854,-62.68380731658531,4.0,4.0
-253.81438411257162,-62.341829754203104,4.0,4.0
-253.6851354205918,-62.170837165789905,4.0,4.0
-253.55585616546492,-61.99984457690151,4.0,4.0
-253.2973434998368,-61.6578517886652,4.0,4.0
-253.03875443097664,-61.315931311362625,4.0,4.0
-252.9094293354216,-61.14501484202481,4.0,4.0
-252.78011952128563,-60.97412120653641,4.0,4.0
-252.52153045584794,-60.632371995633875,4.0,4.0
-252.2629261097358,-60.29064181397506,4.0,4.0
-252.00426063929646,-59.94895349711241,4.0,4.0
-251.7454423516914,-59.60723473083593,4.0,4.0
-251.4866240617377,-59.26551215657901,4.0,4.0
-251.35720727637607,-59.094656577005956,4.0,4.0
-251.22775992947027,-58.923835251794785,4.0,4.0
-250.96886523738434,-58.58224207958751,4.0,4.0
-250.7099552639672,-58.24075166505962,4.0,4.0
-250.45106057137755,-57.899303115207715,4.0,4.0
-250.19210475216732,-57.55789262215266,4.0,4.0
-250.0626268397447,-57.387177861220536,4.0,4.0
-249.93313364440223,-57.216466904536745,4.0,4.0
-249.67402499967625,-56.87503737905525,4.0,4.0
-249.41490107008755,-56.53362307497049,4.0,4.0
